aide,ident,annee,init,calib,valeur
garantie,IG,2018,0.0,0.0,0.0
garantie,IG,2019,0.0,0.0,0.0
garantie,IG,2020,0.0,0.0,0.0
garantie,IG,2021,0.0,0.0,0.0
garantie,IG,2022,0.0,0.0,0.0
garantie,IG_PLA,2017,0.0,0.0,0.0
garantie,IG_PLA,2018,0.0,0.0,0.0
garantie,IG_PLA,2019,0.0,0.0,0.0
garantie,IG_PLA,2020,0.0,0.0,0.0
garantie,IG_PLA,2021,0.0,0.0,0.0
garantie,IG_PLA,2022,0.0,0.0,0.0
garantie,IG_TUT,2017,0.0,0.0,0.0
garantie,IG_TUT,2018,0.0,0.0,0.0
garantie,IG_TUT,2019,0.0,0.0,0.0
garantie,IG_TUT,2020,0.0,0.0,0.0
garantie,IG_TUT,2021,0.0,0.0,0.0
garantie,IG_TUT,2022,0.0,0.0,0.0
garantie,JA,2017,0.0,0.0,0.0
garantie,JA,2018,0.0,0.0,0.0
garantie,JA,2019,0.0,0.0,0.0
garantie,JA,2020,0.0,0.0,0.0
garantie,JA,2021,0.0,0.0,0.0
garantie,JA,2022,0.0,0.0,0.0
garantie,MA,2017,0.0,0.0,0.0
garantie,MA,2018,0.0,0.0,0.0
garantie,MA,2019,0.0,0.0,0.0
garantie,MA,2020,0.0,0.0,0.0
garantie,MA,2021,0.0,0.0,0.0
garantie,MA,2022,0.0,0.0,0.0
garantie,MA_TO_CHOU_JA,2017,0.0,0.0,0.0
garantie,MA_TO_CHOU_JA,2018,0.0,0.0,0.0
garantie,MA_TO_CHOU_JA,2019,0.0,0.0,0.0
garantie,MA_TO_CHOU_JA,2020,0.0,0.0,0.0
garantie,MA_TO_CHOU_JA,2021,0.0,0.0,0.0
garantie,MA_TO_CHOU_JA,2022,0.0,0.0,0.0
garantie,MA_PLBIO,2017,0.0,0.0,0.0
garantie,MA_PLBIO,2018,0.0,0.0,0.0
garantie,MA_PLBIO,2019,0.0,0.0,0.0
garantie,MA_PLBIO,2020,0.0,0.0,0.0
garantie,MA_PLBIO,2021,0.0,0.0,0.0
garantie,MA_PLBIO,2022,0.0,0.0,0.0
garantie,MA_MOBIO,2017,0.0,0.0,0.0
garantie,MA_MOBIO,2018,0.0,0.0,0.0
garantie,MA_MOBIO,2019,0.0,0.0,0.0
garantie,MA_MOBIO,2020,0.0,0.0,0.0
garantie,MA_MOBIO,2021,0.0,0.0,0.0
garantie,MA_MOBIO,2022,0.0,0.0,0.0
garantie,MA_ROTA,2017,0.0,0.0,0.0
garantie,MA_ROTA,2018,0.0,0.0,0.0
garantie,MA_ROTA,2019,0.0,0.0,0.0
garantie,MA_ROTA,2020,0.0,0.0,0.0
garantie,MA_ROTA,2021,0.0,0.0,0.0
garantie,MA_ROTA,2022,0.0,0.0,0.0
garantie,ME,2017,0.0,0.0,0.0
garantie,ME,2018,0.0,0.0,0.0
garantie,ME,2019,0.0,0.0,0.0
garantie,ME,2020,0.0,0.0,0.0
garantie,ME,2021,0.0,0.0,0.0
garantie,ME,2022,0.0,0.0,0.0
garantie,NC,2017,0.0,0.0,0.0
garantie,NC,2018,0.0,0.0,0.0
garantie,NC,2019,0.0,0.0,0.0
garantie,NC,2020,0.0,0.0,0.0
garantie,NC,2021,0.0,0.0,0.0
garantie,NC,2022,0.0,0.0,0.0
garantie,PN,2017,0.0,0.0,0.0
garantie,PN,2018,0.0,0.0,0.0
garantie,PN,2019,0.0,0.0,0.0
garantie,PN,2020,0.0,0.0,0.0
garantie,PN,2021,0.0,0.0,0.0
garantie,PN,2022,0.0,0.0,0.0
garantie,PN_PIQ,2017,0.0,0.0,0.0
garantie,PN_PIQ,2018,0.0,0.0,0.0
garantie,PN_PIQ,2019,0.0,0.0,0.0
garantie,PN_PIQ,2020,0.0,0.0,0.0
garantie,PN_PIQ,2021,0.0,0.0,0.0
garantie,PN_PIQ,2022,0.0,0.0,0.0
garantie,PN_TOUR,2017,0.0,0.0,0.0
garantie,PN_TOUR,2018,0.0,0.0,0.0
garantie,PN_TOUR,2019,0.0,0.0,0.0
garantie,PN_TOUR,2020,0.0,0.0,0.0
garantie,PN_TOUR,2021,0.0,0.0,0.0
garantie,PN_TOUR,2022,0.0,0.0,0.0
garantie,TH,2017,0.0,0.0,0.0
garantie,TH,2018,0.0,0.0,0.0
garantie,TH,2019,0.0,0.0,0.0
garantie,TH,2020,0.0,0.0,0.0
garantie,TH,2021,0.0,0.0,0.0
garantie,TH,2022,0.0,0.0,0.0
garantie,VE,2017,0.0,0.0,0.0
garantie,VE,2018,0.0,0.0,0.0
garantie,VE,2019,0.0,0.0,0.0
garantie,VE,2020,0.0,0.0,0.0
garantie,VE,2021,0.0,0.0,0.0
garantie,VE,2022,0.0,0.0,0.0
garantie,VE_BTGT,2017,0.0,0.0,0.0
garantie,VE_BTGT,2018,0.0,0.0,0.0
garantie,VE_BTGT,2019,0.0,0.0,0.0
garantie,VE_BTGT,2020,0.0,0.0,0.0
garantie,VE_BTGT,2021,0.0,0.0,0.0
garantie,VE_BTGT,2022,0.0,0.0,0.0
garantie,VE_PLUIE,2017,0.0,0.0,0.0
garantie,VE_PLUIE,2018,0.0,0.0,0.0
garantie,VE_PLUIE,2019,0.0,0.0,0.0
garantie,VE_PLUIE,2020,0.0,0.0,0.0
garantie,VE_PLUIE,2021,0.0,0.0,0.0
garantie,VE_PLUIE,2022,0.0,0.0,0.0
garantie,MA_TO_CO_JA,2017,0.0,0.0,0.0
garantie,MA_TO_CO_JA,2018,0.0,0.0,0.0
garantie,MA_TO_CO_JA,2019,0.0,0.0,0.0
garantie,MA_TO_CO_JA,2020,0.0,0.0,0.0
garantie,MA_TO_CO_JA,2021,0.0,0.0,0.0
garantie,MA_TO_CO_JA,2022,0.0,0.0,0.0
garantie,MA_BAG_BIO_I,2017,0.0,0.0,0.0
garantie,MA_BAG_BIO_I,2018,0.0,0.0,0.0
garantie,MA_BAG_BIO_I,2019,0.0,0.0,0.0
garantie,MA_BAG_BIO_I,2020,0.0,0.0,0.0
garantie,MA_BAG_BIO_I,2021,0.0,0.0,0.0
garantie,MA_BAG_BIO_I,2022,0.0,0.0,0.0
garantie,MA_BAG_BIO_NI,2017,0.0,0.0,0.0
garantie,MA_BAG_BIO_NI,2018,0.0,0.0,0.0
garantie,MA_BAG_BIO_NI,2019,0.0,0.0,0.0
garantie,MA_BAG_BIO_NI,2020,0.0,0.0,0.0
garantie,MA_BAG_BIO_NI,2021,0.0,0.0,0.0
garantie,MA_BAG_BIO_NI,2022,0.0,0.0,0.0
garantie,MA_BAG_VEG_I,2017,0.0,0.0,0.0
garantie,MA_BAG_VEG_I,2018,0.0,0.0,0.0
garantie,MA_BAG_VEG_I,2019,0.0,0.0,0.0
garantie,MA_BAG_VEG_I,2020,0.0,0.0,0.0
garantie,MA_BAG_VEG_I,2021,0.0,0.0,0.0
garantie,MA_BAG_VEG_I,2022,0.0,0.0,0.0
garantie,MA_BAG_VEG_NI,2017,0.0,0.0,0.0
garantie,MA_BAG_VEG_NI,2018,0.0,0.0,0.0
garantie,MA_BAG_VEG_NI,2019,0.0,0.0,0.0
garantie,MA_BAG_VEG_NI,2020,0.0,0.0,0.0
garantie,MA_BAG_VEG_NI,2021,0.0,0.0,0.0
garantie,MA_BAG_VEG_NI,2022,0.0,0.0,0.0
garantie,MA_BAG_FER_I,2017,0.0,0.0,0.0
garantie,MA_BAG_FER_I,2018,0.0,0.0,0.0
garantie,MA_BAG_FER_I,2019,0.0,0.0,0.0
garantie,MA_BAG_FER_I,2020,0.0,0.0,0.0
garantie,MA_BAG_FER_I,2021,0.0,0.0,0.0
garantie,MA_BAG_FER_I,2022,0.0,0.0,0.0
garantie,MA_BAG_FER_NI,2017,0.0,0.0,0.0
garantie,MA_BAG_FER_NI,2018,0.0,0.0,0.0
garantie,MA_BAG_FER_NI,2019,0.0,0.0,0.0
garantie,MA_BAG_FER_NI,2020,0.0,0.0,0.0
garantie,MA_BAG_FER_NI,2021,0.0,0.0,0.0
garantie,MA_BAG_FER_NI,2022,0.0,0.0,0.0
garantie,MA_BAG_NON_I,2017,0.0,0.0,0.0
garantie,MA_BAG_NON_I,2018,0.0,0.0,0.0
garantie,MA_BAG_NON_I,2019,0.0,0.0,0.0
garantie,MA_BAG_NON_I,2020,0.0,0.0,0.0
garantie,MA_BAG_NON_I,2021,0.0,0.0,0.0
garantie,MA_BAG_NON_I,2022,0.0,0.0,0.0
garantie,MA_BAG_NON_NI,2017,0.0,0.0,0.0
garantie,MA_BAG_NON_NI,2018,0.0,0.0,0.0
garantie,MA_BAG_NON_NI,2019,0.0,0.0,0.0
garantie,MA_BAG_NON_NI,2020,0.0,0.0,0.0
garantie,MA_BAG_NON_NI,2021,0.0,0.0,0.0
garantie,MA_BAG_NON_NI,2022,0.0,0.0,0.0
garantie,MA_BRF_BIO_I,2017,0.0,0.0,0.0
garantie,MA_BRF_BIO_I,2018,0.0,0.0,0.0
garantie,MA_BRF_BIO_I,2019,0.0,0.0,0.0
garantie,MA_BRF_BIO_I,2020,0.0,0.0,0.0
garantie,MA_BRF_BIO_I,2021,0.0,0.0,0.0
garantie,MA_BRF_BIO_I,2022,0.0,0.0,0.0
garantie,MA_BRF_BIO_NI,2017,0.0,0.0,0.0
garantie,MA_BRF_BIO_NI,2018,0.0,0.0,0.0
garantie,MA_BRF_BIO_NI,2019,0.0,0.0,0.0
garantie,MA_BRF_BIO_NI,2020,0.0,0.0,0.0
garantie,MA_BRF_BIO_NI,2021,0.0,0.0,0.0
garantie,MA_BRF_BIO_NI,2022,0.0,0.0,0.0
garantie,MA_BRF_VEG_I,2017,0.0,0.0,0.0
garantie,MA_BRF_VEG_I,2018,0.0,0.0,0.0
garantie,MA_BRF_VEG_I,2019,0.0,0.0,0.0
garantie,MA_BRF_VEG_I,2020,0.0,0.0,0.0
garantie,MA_BRF_VEG_I,2021,0.0,0.0,0.0
garantie,MA_BRF_VEG_I,2022,0.0,0.0,0.0
garantie,MA_BRF_VEG_NI,2017,0.0,0.0,0.0
garantie,MA_BRF_VEG_NI,2018,0.0,0.0,0.0
garantie,MA_BRF_VEG_NI,2019,0.0,0.0,0.0
garantie,MA_BRF_VEG_NI,2020,0.0,0.0,0.0
garantie,MA_BRF_VEG_NI,2021,0.0,0.0,0.0
garantie,MA_BRF_VEG_NI,2022,0.0,0.0,0.0
garantie,MA_BRF_FER_I,2017,0.0,0.0,0.0
garantie,MA_BRF_FER_I,2018,0.0,0.0,0.0
garantie,MA_BRF_FER_I,2019,0.0,0.0,0.0
garantie,MA_BRF_FER_I,2020,0.0,0.0,0.0
garantie,MA_BRF_FER_I,2021,0.0,0.0,0.0
garantie,MA_BRF_FER_I,2022,0.0,0.0,0.0
garantie,MA_BRF_FER_NI,2017,0.0,0.0,0.0
garantie,MA_BRF_FER_NI,2018,0.0,0.0,0.0
garantie,MA_BRF_FER_NI,2019,0.0,0.0,0.0
garantie,MA_BRF_FER_NI,2020,0.0,0.0,0.0
garantie,MA_BRF_FER_NI,2021,0.0,0.0,0.0
garantie,MA_BRF_FER_NI,2022,0.0,0.0,0.0
garantie,MA_BRF_NON_I,2017,0.0,0.0,0.0
garantie,MA_BRF_NON_I,2018,0.0,0.0,0.0
garantie,MA_BRF_NON_I,2019,0.0,0.0,0.0
garantie,MA_BRF_NON_I,2020,0.0,0.0,0.0
garantie,MA_BRF_NON_I,2021,0.0,0.0,0.0
garantie,MA_BRF_NON_I,2022,0.0,0.0,0.0
garantie,MA_BRF_NON_NI,2017,0.0,0.0,0.0
garantie,MA_BRF_NON_NI,2018,0.0,0.0,0.0
garantie,MA_BRF_NON_NI,2019,0.0,0.0,0.0
garantie,MA_BRF_NON_NI,2020,0.0,0.0,0.0
garantie,MA_BRF_NON_NI,2021,0.0,0.0,0.0
garantie,MA_BRF_NON_NI,2022,0.0,0.0,0.0
garantie,MA_PAI_BIO_I,2017,0.0,0.0,0.0
garantie,MA_PAI_BIO_I,2018,0.0,0.0,0.0
garantie,MA_PAI_BIO_I,2019,0.0,0.0,0.0
garantie,MA_PAI_BIO_I,2020,0.0,0.0,0.0
garantie,MA_PAI_BIO_I,2021,0.0,0.0,0.0
garantie,MA_PAI_BIO_I,2022,0.0,0.0,0.0
garantie,MA_PAI_BIO_NI,2017,0.0,0.0,0.0
garantie,MA_PAI_BIO_NI,2018,0.0,0.0,0.0
garantie,MA_PAI_BIO_NI,2019,0.0,0.0,0.0
garantie,MA_PAI_BIO_NI,2020,0.0,0.0,0.0
garantie,MA_PAI_BIO_NI,2021,0.0,0.0,0.0
garantie,MA_PAI_BIO_NI,2022,0.0,0.0,0.0
garantie,MA_PAI_VEG_I,2017,0.0,0.0,0.0
garantie,MA_PAI_VEG_I,2018,0.0,0.0,0.0
garantie,MA_PAI_VEG_I,2019,0.0,0.0,0.0
garantie,MA_PAI_VEG_I,2020,0.0,0.0,0.0
garantie,MA_PAI_VEG_I,2021,0.0,0.0,0.0
garantie,MA_PAI_VEG_I,2022,0.0,0.0,0.0
garantie,MA_PAI_VEG_NI,2017,0.0,0.0,0.0
garantie,MA_PAI_VEG_NI,2018,0.0,0.0,0.0
garantie,MA_PAI_VEG_NI,2019,0.0,0.0,0.0
garantie,MA_PAI_VEG_NI,2020,0.0,0.0,0.0
garantie,MA_PAI_VEG_NI,2021,0.0,0.0,0.0
garantie,MA_PAI_VEG_NI,2022,0.0,0.0,0.0
garantie,MA_PAI_FER_I,2017,0.0,0.0,0.0
garantie,MA_PAI_FER_I,2018,0.0,0.0,0.0
garantie,MA_PAI_FER_I,2019,0.0,0.0,0.0
garantie,MA_PAI_FER_I,2020,0.0,0.0,0.0
garantie,MA_PAI_FER_I,2021,0.0,0.0,0.0
garantie,MA_PAI_FER_I,2022,0.0,0.0,0.0
garantie,MA_PAI_FER_NI,2017,0.0,0.0,0.0
garantie,MA_PAI_FER_NI,2018,0.0,0.0,0.0
garantie,MA_PAI_FER_NI,2019,0.0,0.0,0.0
garantie,MA_PAI_FER_NI,2020,0.0,0.0,0.0
garantie,MA_PAI_FER_NI,2021,0.0,0.0,0.0
garantie,MA_PAI_FER_NI,2022,0.0,0.0,0.0
garantie,MA_PAI_NON_I,2017,0.0,0.0,0.0
garantie,MA_PAI_NON_I,2018,0.0,0.0,0.0
garantie,MA_PAI_NON_I,2019,0.0,0.0,0.0
garantie,MA_PAI_NON_I,2020,0.0,0.0,0.0
garantie,MA_PAI_NON_I,2021,0.0,0.0,0.0
garantie,MA_PAI_NON_I,2022,0.0,0.0,0.0
garantie,MA_PAI_NON_NI,2017,0.0,0.0,0.0
garantie,MA_PAI_NON_NI,2018,0.0,0.0,0.0
garantie,MA_PAI_NON_NI,2019,0.0,0.0,0.0
garantie,MA_PAI_NON_NI,2020,0.0,0.0,0.0
garantie,MA_PAI_NON_NI,2021,0.0,0.0,0.0
garantie,MA_PAI_NON_NI,2022,0.0,0.0,0.0
